1980,0.59
1981,0.68
1982,0.75
1983,0.81
1984,0.85
1985,0.95
1986,0.99
1987,1
1988,1.06
1989,1.14
1990,1.25
1991,1.32
1992,1.38
1993,1.41
1994,1.46
1995,1.51
1996,1.56
1997,1.6
1998,1.65
1999,1.7
2000,1.79
2001,1.86
2002,2.01
2003,2.16
2004,2.29
2005,2.47
2006,2.66
2007,2.73
2008,2.98
2009,3.52
2010,3.46
2011,3.6
2012,3.54
2013,3.46
2014,3.5
2015,3.68
2016,3.85
2017,3.98
2018,4.11
2019,4.45
2020,6.55
